id,width,height,url,photographer,photographer_url,photographer_id,avg_color,original,large2x,large,medium,small,portrait,landscape,tiny,liked,alt,half_width,half_height,photographer_name_lower
14623863,2592,3888,https://www.pexels.com/photo/a-penguin-in-the-water-14623863/,John Farias,https://www.pexels.com/@johnfarias,376400970,#355957,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Close-up of a Humboldt penguin swimming underwater, showcasing its sleek form and aquatic environment.",1296,1944,john farias
27546078,6000,4000,https://www.pexels.com/photo/a-humboldt-penguin-in-the-water-27546078/,Joerg Hartmann,https://www.pexels.com/@joerg-hartmann-626385254,626385254,#243F20,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Humboldt penguin swims elegantly in lush green water, showcasing natural beauty.",3000,2000,joerg hartmann
31587885,9504,6336,https://www.pexels.com/photo/humboldt-penguin-swimming-in-zoo-pool-31587885/,Lars H Knudsen,https://www.pexels.com/@farlight,1554090,#5D5C58,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Humboldt penguin enjoying a swim in a calm zoo pool with its reflection visible in the water.,4752,3168,lars h knudsen
15672821,3793,4741,https://www.pexels.com/photo/penguin-swimming-underwater-15672821/,Chemsou,https://www.pexels.com/@chemsou-464799972,464799972,#072B39,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"A penguin elegantly swims underwater in the ocean, captured in a vertical shot.",1896.5,2370.5,chemsou
12501222,4764,3176,https://www.pexels.com/photo/humboldt-penguin-in-close-up-photography-12501222/,Neal Smith,https://www.pexels.com/@nealsmithphotos,249812827,#3F403A,https://images.pexels.com/photos/12501222/pexels-photo-12501222.jpeg,https://images.pexels.com/photos/12501222/pexels-photo-12501222.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/12501222/pexels-photo-12501222.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/12501222/pexels-photo-12501222.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/12501222/pexels-photo-12501222.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/12501222/pexels-photo-12501222.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/12501222/pexels-photo-12501222.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/12501222/pexels-photo-12501222.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Humboldt penguin swimming, showcasing its unique beak and feathers in detail.",2382,1588,neal smith
6443124,6720,4480,https://www.pexels.com/photo/a-mallard-swimming-on-the-water-6443124/,Meghav Gandhi,https://www.pexels.com/@meghav,2062655,#729585,https://images.pexels.com/photos/6443124/pexels-photo-6443124.jpeg,https://images.pexels.com/photos/6443124/pexels-photo-6443124.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/6443124/pexels-photo-6443124.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/6443124/pexels-photo-6443124.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/6443124/pexels-photo-6443124.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/6443124/pexels-photo-6443124.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/6443124/pexels-photo-6443124.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/6443124/pexels-photo-6443124.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Vibrant close-up image of a penguin swimming gracefully in clear turquoise water.,3360,2240,meghav gandhi
28281795,4480,6720,https://www.pexels.com/photo/penguins-are-in-an-enclosure-with-water-and-rocks-28281795/,Boris Hamer,https://www.pexels.com/@borishamer,314917712,#6A7A7A,https://images.pexels.com/photos/28281795/pexels-photo-28281795.jpeg,https://images.pexels.com/photos/28281795/pexels-photo-28281795.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/28281795/pexels-photo-28281795.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/28281795/pexels-photo-28281795.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/28281795/pexels-photo-28281795.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/28281795/pexels-photo-28281795.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/28281795/pexels-photo-28281795.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/28281795/pexels-photo-28281795.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Penguins standing on a rock surrounded by icy water in a natural habitat.,2240,3360,boris hamer
11631000,5317,3545,https://www.pexels.com/photo/penguin-swimming-in-aquarium-11631000/,Gabriel Chamak,https://www.pexels.com/@gchamak,80605736,#747064,https://images.pexels.com/photos/11631000/pexels-photo-11631000.jpeg,https://images.pexels.com/photos/11631000/pexels-photo-11631000.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/11631000/pexels-photo-11631000.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/11631000/pexels-photo-11631000.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/11631000/pexels-photo-11631000.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/11631000/pexels-photo-11631000.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/11631000/pexels-photo-11631000.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/11631000/pexels-photo-11631000.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,An intimate close-up of a penguin swimming gracefully underwater in an aquarium setting.,2658.5,1772.5,gabriel chamak
17556002,5328,4000,https://www.pexels.com/photo/humboldt-penguins-in-the-zoo-enclosure-17556002/,Olha Padalka,https://www.pexels.com/@olha-padalka-538960613,538960613,#70726F,https://images.pexels.com/photos/17556002/pexels-photo-17556002.jpeg,https://images.pexels.com/photos/17556002/pexels-photo-17556002.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/17556002/pexels-photo-17556002.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/17556002/pexels-photo-17556002.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/17556002/pexels-photo-17556002.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/17556002/pexels-photo-17556002.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/17556002/pexels-photo-17556002.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/17556002/pexels-photo-17556002.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Close-up of Humboldt penguins on rocks in a zoo enclosure, Kraków, Poland.",2664,2000,olha padalka
28843988,5719,3813,https://www.pexels.com/photo/gentoo-penguin-swimming-underwater-close-up-28843988/,Emilio Sánchez  Hernández,https://www.pexels.com/@emilio-sanchez-hernandez-285921208,285921208,#243956,https://images.pexels.com/photos/28843988/pexels-photo-28843988.jpeg,https://images.pexels.com/photos/28843988/pexels-photo-28843988.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/28843988/pexels-photo-28843988.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/28843988/pexels-photo-28843988.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/28843988/pexels-photo-28843988.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/28843988/pexels-photo-28843988.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/28843988/pexels-photo-28843988.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/28843988/pexels-photo-28843988.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Close-up of a Gentoo penguin swimming gracefully underwater in an aquarium.,2859.5,1906.5,emilio sánchez  hernández
13974678,6000,4000,https://www.pexels.com/photo/a-penguin-in-the-water-13974678/,Tuna HFZ,https://www.pexels.com/@tuna-hfz-271958208,271958208,#465248,https://images.pexels.com/photos/13974678/pexels-photo-13974678.jpeg,https://images.pexels.com/photos/13974678/pexels-photo-13974678.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/13974678/pexels-photo-13974678.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/13974678/pexels-photo-13974678.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/13974678/pexels-photo-13974678.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/13974678/pexels-photo-13974678.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/13974678/pexels-photo-13974678.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/13974678/pexels-photo-13974678.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"A penguin gracefully swimming, showcasing its unique markings and smooth movement through water.",3000,2000,tuna hfz
13974691,4000,6000,https://www.pexels.com/photo/a-penguin-in-the-water-13974691/,Tuna HFZ,https://www.pexels.com/@tuna-hfz-271958208,271958208,#555D46,https://images.pexels.com/photos/13974691/pexels-photo-13974691.jpeg,https://images.pexels.com/photos/13974691/pexels-photo-13974691.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/13974691/pexels-photo-13974691.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/13974691/pexels-photo-13974691.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/13974691/pexels-photo-13974691.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/13974691/pexels-photo-13974691.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/13974691/pexels-photo-13974691.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/13974691/pexels-photo-13974691.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Detailed image of a penguin swimming peacefully in natural waters.,2000,3000,tuna hfz
