Weight
1250
1764
1456
1395
1515
1842
1155
1673
1647
1500
1322
1187
908
1022
765
2136
965
1271
1487
1455
1500
1300
1275
1374
815
1446
1248
778
1400
872
1394
1229
1650
889
1285
615
650
990
645
1450
990
1653
2200
347
1679
605
1650
700
636
1489
980
635
1563
950
598
1700
800
1700
910
913
443
1150
796
1200
1325
525
1393
964
1473
450
1600
921
1200
1571
1651
1492
1267
856
1234
1650
1496
2400
1673
1175
1000
813
875
1366
1200
1175
1300
1345
1162
300
515
621
747
1675
1298
1450
860
1430
1460
1350
650
1873
1250
900
1200
952
1320
912
2200
1700
856
1000
1732
987
1348
980
950
1700
1125
2500
825
1450
2448
1776
1357
1521
832
1500
1145
2000
1673
2221
1480
1850
1327
905
754
1597
403.5
1000
721
963
1126
1059
445
1123
1430
575
1227
1100
1500
794
3890
2568
1215
1350
400
897
2222
919
1200
868
500
874
1650
1500
1336
1728
1644
712
1172
900
1485
1673
948
850
850
1023
1300
1457
1643
1343
1900
1000
1397
1750
1776
1378
400
1278
1250
1236
1400
1634
3645
1244
1200
1500
984
2378
1308
1350
659
1800
1835
1453
865
1780
1387
1500
1488
1532
673
1284
650
1250
1125
1689
2400
1275
1610
545
784
780
1256
1419
402
1155
1600
1672
1150
1700
1325
2500
1688
629
950
1100
1425
1700
1263
1300
1500
1878
1095
3000
572
2500
1552
1628
2138
1215
750
1200
1200
857
1886
1200
1700
914
1602
2000
1341
629
938
1255
850
2000
2000
1350
545
850
1133
1673
1400
1600
1478
1425
1376
820
2300
2300
1850
1286
1000
1649
975
1428
1300
1750
900
1600
1353
983
600
1623
2400
800
432
1377
1250
1683
1351
493
968
450
1715
990
1310
1735
987
439
1380
1713
1200
1020
1275
712
814
1450
810
660
1700
475
500
1448
836
1200
1650
1635
950
990
1422
1397
2000
1650
1200
1565
1423
1105
1402
2200
825
1023
1200
1987
1321
1086
1433
730
1425
666
1622
967
2126
2222
4450
1350
1285
1575
1735
1320
399
850
1440
2075
1200
1234
625
2800
2000
1678
1300
1434
997
650
1273
1850
1300
1120
631
1333
900
634
1250
1521
1111
1149
1235
1112
1279
1280
1300
1045
1450
1051
1348
1243
453
715
1609
439
1583
2000
1207
1393
2734
1200
1356
2546
1040
2002
1195
1060
1057
1300
1467
1234
1583
865
1400
1001
1320
1003
680
1165
963
856
1367
1358
950
431
1512
2313
1134
1265
699
1250
1350
795
959
1203
1578
1700
790
585
1137
415
1450
975
1616
987
1320
1150
1635
445
1617
772
1647
1566
657
1200
3250
850
1835
1373
1371
1390
800
1428
967
854
1532
450
1200
425
800
900
1742
1500
834
975
1483
1489
1538
1517
1200
1400
800
1164
1450
1337
1010
1500
1223
1536
